2023-05-10 16:28:09,654 : OpenApp : no
2023-05-10 16:28:09,654 : QuizApp EXIT
2023-05-10 16:28:19,324 : OpenApp : yes
2023-05-10 16:28:19,324 : QuizApp START
2023-05-10 16:30:34,572 : OpenApp : yes
2023-05-10 16:30:34,573 : QuizApp START
2023-05-10 16:30:55,389 : OpenApp : yes
2023-05-10 16:30:55,390 : QuizApp START
2023-05-10 16:31:22,409 : OpenApp : yes
2023-05-10 16:31:22,409 : QuizApp START
2023-05-10 16:31:41,889 : OpenApp : yes
2023-05-10 16:31:41,890 : QuizApp START
2023-05-10 16:43:01,196 : OpenApp : yes
2023-05-10 16:43:01,197 : QuizApp START
2023-05-10 16:43:52,518 : OpenApp : yes
2023-05-10 16:43:52,518 : QuizApp START
2023-05-10 16:44:19,139 : OpenApp : yes
2023-05-10 16:44:19,140 : QuizApp START
2023-05-10 16:47:46,092 : OpenApp : yes
2023-05-10 16:47:46,092 : QuizApp START
2023-05-10 16:48:04,488 : OpenApp : yes
2023-05-10 16:48:04,489 : QuizApp START
2023-05-10 16:48:58,164 : OpenApp : yes
2023-05-10 16:48:58,164 : QuizApp START
2023-05-10 16:53:30,332 : OpenApp : yes
2023-05-10 16:53:30,332 : QuizApp START
2023-05-10 16:53:50,678 : OpenApp : yes
2023-05-10 16:53:50,678 : QuizApp START
2023-05-10 16:54:19,512 : OpenApp : yes
2023-05-10 16:54:19,513 : QuizApp START
2023-05-10 16:54:30,168 : OpenApp : yes
2023-05-10 16:54:30,168 : QuizApp START
2023-05-10 16:54:56,763 : OpenApp : yes
2023-05-10 16:54:56,763 : QuizApp START
2023-05-10 16:58:41,881 : OpenApp : yes
2023-05-10 16:58:41,881 : QuizApp START
2023-05-10 17:06:19,389 : OpenApp : yes
2023-05-10 17:06:19,389 : QuizApp START
2023-05-10 17:08:45,126 : OpenApp : yes
2023-05-10 17:08:45,126 : QuizApp START
2023-05-10 17:08:54,038 : OpenApp : yes
2023-05-10 17:08:54,038 : QuizApp START
2023-05-10 17:16:00,543 : OpenApp : yes
2023-05-10 17:16:00,543 : QuizApp START
2023-05-10 17:18:14,554 : OpenApp : yes
2023-05-10 17:18:14,554 : QuizApp START
2023-05-10 17:18:55,090 : OpenApp : yes
2023-05-10 17:18:55,090 : QuizApp START
2023-05-10 17:25:39,566 : OpenApp : yes
2023-05-10 17:25:39,567 : QuizApp START
2023-05-10 17:26:20,731 : OpenApp : yes
2023-05-10 17:26:20,732 : QuizApp START
2023-05-10 17:27:25,699 : OpenApp : yes
2023-05-10 17:27:25,699 : QuizApp START
2023-05-10 17:27:43,956 : OpenApp : yes
2023-05-10 17:27:43,957 : QuizApp START
2023-05-10 17:28:06,140 : OpenApp : yes
2023-05-10 17:28:06,141 : QuizApp START
2023-05-10 17:28:15,647 : OpenApp : yes
2023-05-10 17:28:15,647 : QuizApp START
2023-05-10 17:28:22,747 : OpenApp : yes
2023-05-10 17:28:22,748 : QuizApp START
2023-05-10 17:28:41,320 : OpenApp : yes
2023-05-10 17:28:41,320 : QuizApp START
2023-05-10 17:29:19,078 : OpenApp : yes
2023-05-10 17:29:19,079 : QuizApp START
2023-05-10 17:29:28,214 : OpenApp : yes
2023-05-10 17:29:28,214 : QuizApp START
2023-05-10 17:30:32,406 : OpenApp : yes
2023-05-10 17:30:32,407 : QuizApp START
2023-05-10 17:30:48,645 : OpenApp : yes
2023-05-10 17:30:48,647 : QuizApp START
2023-05-10 17:30:57,588 : OpenApp : yes
2023-05-10 17:30:57,588 : QuizApp START
2023-05-10 17:31:16,806 : OpenApp : yes
2023-05-10 17:31:16,806 : QuizApp START
2023-05-10 17:31:32,063 : OpenApp : yes
2023-05-10 17:31:32,065 : QuizApp START
2023-05-10 17:31:38,024 : OpenApp : yes
2023-05-10 17:31:38,024 : QuizApp START
2023-05-10 17:36:07,218 : OpenApp : yes
2023-05-10 17:36:07,218 : QuizApp START
2023-05-10 17:39:02,159 : OpenApp : yes
2023-05-10 17:39:02,159 : QuizApp START
2023-05-10 17:39:33,347 : OpenApp : yes
2023-05-10 17:39:33,347 : QuizApp START
2023-05-10 17:39:53,667 : OpenApp : yes
2023-05-10 17:39:53,667 : QuizApp START
2023-05-10 17:40:06,082 : OpenApp : yes
2023-05-10 17:40:06,082 : QuizApp START
2023-05-10 17:41:26,994 : OpenApp : yes
2023-05-10 17:41:26,995 : QuizApp START
2023-05-10 17:41:39,729 : OpenApp : yes
2023-05-10 17:41:39,729 : QuizApp START
2023-05-10 17:41:59,268 : OpenApp : yes
2023-05-10 17:41:59,270 : QuizApp START
2023-05-10 17:42:09,967 : OpenApp : yes
2023-05-10 17:42:09,967 : QuizApp START
2023-05-10 17:42:21,413 : OpenApp : yes
2023-05-10 17:42:21,414 : QuizApp START
2023-05-10 17:42:32,280 : OpenApp : yes
2023-05-10 17:42:32,281 : QuizApp START
2023-05-10 17:43:13,576 : OpenApp : yes
2023-05-10 17:43:13,577 : QuizApp START
2023-05-10 17:52:53,109 : OpenApp : yes
2023-05-10 17:52:53,110 : QuizApp START
2023-05-10 17:53:12,097 : OpenApp : yes
2023-05-10 17:53:12,098 : QuizApp START
2023-05-10 17:53:26,918 : OpenApp : yes
2023-05-10 17:53:26,918 : QuizApp START
2023-05-10 17:54:03,238 : OpenApp : yes
2023-05-10 17:54:03,239 : QuizApp START
2023-05-10 18:04:01,344 : OpenApp : yes
2023-05-10 18:04:01,344 : QuizApp START
2023-05-10 18:04:54,669 : OpenApp : yes
2023-05-10 18:04:54,671 : QuizApp START
2023-05-10 18:05:46,526 : OpenApp : yes
2023-05-10 18:05:46,527 : QuizApp START
2023-05-10 18:05:55,445 : OpenApp : yes
2023-05-10 18:05:55,445 : QuizApp START
2023-05-10 18:06:07,261 : OpenApp : yes
2023-05-10 18:06:07,261 : QuizApp START
2023-05-10 18:06:36,967 : OpenApp : yes
2023-05-10 18:06:36,967 : QuizApp START
2023-05-10 18:06:54,604 : OpenApp : yes
2023-05-10 18:06:54,604 : QuizApp START
2023-05-10 18:10:54,706 : OpenApp : yes
2023-05-10 18:10:54,706 : QuizApp START
2023-05-10 18:13:58,569 : OpenApp : yes
2023-05-10 18:13:58,569 : QuizApp START
2023-05-10 18:14:20,331 : OpenApp : yes
2023-05-10 18:14:20,331 : QuizApp START
2023-05-10 18:15:00,849 : OpenApp : yes
2023-05-10 18:15:00,849 : QuizApp START
2023-05-10 18:15:45,644 : OpenApp : yes
2023-05-10 18:15:45,645 : QuizApp START
2023-05-10 18:16:07,713 : OpenApp : yes
2023-05-10 18:16:07,713 : QuizApp START
2023-05-10 18:16:39,424 : OpenApp : yes
2023-05-10 18:16:39,424 : QuizApp START
2023-05-10 18:18:08,756 : OpenApp : yes
2023-05-10 18:18:08,756 : QuizApp START
2023-05-10 18:19:23,606 : OpenApp : yes
2023-05-10 18:19:23,606 : QuizApp START
2023-05-10 18:19:41,912 : OpenApp : yes
2023-05-10 18:19:41,913 : QuizApp START
2023-05-10 18:23:23,668 : OpenApp : yes
2023-05-10 18:23:23,669 : QuizApp START
2023-05-10 18:24:11,714 : OpenApp : yes
2023-05-10 18:24:11,716 : QuizApp START
2023-05-10 18:24:59,330 : OpenApp : yes
2023-05-10 18:24:59,330 : QuizApp START
2023-05-10 18:25:05,891 : OpenApp : yes
2023-05-10 18:25:05,891 : QuizApp START
2023-05-10 18:27:26,768 : OpenApp : yes
2023-05-10 18:27:26,769 : QuizApp START
2023-05-10 18:27:41,670 : OpenApp : yes
2023-05-10 18:27:41,672 : QuizApp START
2023-05-10 19:54:49,421 : OpenApp : yes
2023-05-10 19:54:49,421 : QuizApp START
2023-05-10 19:55:16,520 : OpenApp : yes
2023-05-10 19:55:16,520 : QuizApp START
2023-05-10 19:55:58,298 : OpenApp : yes
2023-05-10 19:55:58,298 : QuizApp START
2023-05-10 19:56:06,940 : OpenApp : yes
2023-05-10 19:56:06,940 : QuizApp START
2023-05-10 19:56:19,247 : OpenApp : yes
2023-05-10 19:56:19,247 : QuizApp START
2023-05-10 19:56:40,742 : OpenApp : yes
2023-05-10 19:56:40,742 : QuizApp START
2023-05-10 19:58:29,166 : OpenApp : yes
2023-05-10 19:58:29,167 : QuizApp START
2023-05-10 20:03:39,032 : OpenApp : no
2023-05-10 20:03:39,032 : QuizApp EXIT
2023-05-10 20:03:54,169 : OpenApp : no
2023-05-10 20:03:54,170 : QuizApp EXIT
2023-05-10 20:03:58,350 : OpenApp : yes
2023-05-10 20:03:58,350 : QuizApp START
2023-05-10 20:04:45,684 : OpenApp : yes
2023-05-10 20:04:45,685 : QuizApp START
